case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::170018-0,FRG-1,170018-0,PIMS,Barakahu,2026-04-23T09:40:00+05:00,2026-04-23T10:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170019-0,FRG-1,170019-0,PIMS,Barakahu,2026-04-23T09:45:00+05:00,2026-04-23T10:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170020-0,FRG-1,170020-0,PIMS,Barakahu,2026-04-23T09:50:00+05:00,2026-04-23T10:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170021-0,FRG-1,170021-0,PIMS,Barakahu,2026-04-23T09:55:00+05:00,2026-04-23T10:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170022-0,FRG-1,170022-0,PIMS,Barakahu,2026-04-23T10:00:00+05:00,2026-04-23T10:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170023-0,FRG-1,170023-0,PIMS,Barakahu,2026-04-23T10:05:00+05:00,2026-04-23T10:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170024-0,FRG-1,170024-0,PIMS,Barakahu,2026-04-23T10:10:00+05:00,2026-04-23T10:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170025-0,FRG-1,170025-0,PIMS,Barakahu,2026-04-23T10:15:00+05:00,2026-04-23T10:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170026-0,FRG-1,170026-0,PIMS,Barakahu,2026-04-23T10:20:00+05:00,2026-04-23T10:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170027-0,FRG-1,170027-0,PIMS,Barakahu,2026-04-23T10:25:00+05:00,2026-04-23T10:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170028-0,FRG-1,170028-0,PIMS,Barakahu,2026-04-23T10:30:00+05:00,2026-04-23T11:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170029-0,FRG-1,170029-0,PIMS,Barakahu,2026-04-23T10:35:00+05:00,2026-04-23T11:05:00+05:00,1800,30 min 0 sec,10
