stop_name_normalized,stop_name,routes,route_count,first_seen_sequence,latitude,longitude,coordinate_quality,coordinate_note,google_latitude,google_longitude,verification_note
npa stop,NPA Stop,FR-01,1,3,33.6441,73.0012,verified,Seed coordinate for key Islamabad stop.,,,
npf housing society,NPF Housing Society,"FR-05, FR-10",2,8,33.5685,73.1515,verified,Seed coordinate for key Islamabad stop.,,,
nust eme college,NUST EME College,FR-11,1,4,33.611,72.9245,verified,Seed coordinate for key Islamabad stop.,,,
nust metro station,NUST Metro Station,"FR-01, FR-05, FR-07, FR-10",4,1,33.644,72.991,verified,Seed coordinate for key Islamabad stop.,,,
nai abadi,Nai Abadi,FR-14A,1,7,33.6365,73.0895,verified,Seed coordinate for key Islamabad stop.,,,
national library,National Library,FR-04,1,20,33.7315,73.1015,verified,Seed coordinate for key Islamabad stop.,,,
naval complex,Naval Complex,"FR-03A, ST-01",2,8,33.715,73.041,verified,Seed coordinate for key Islamabad stop.,,,
nawab abad,Nawab Abad,FR-12,1,3,33.7555,72.7845,verified,Seed coordinate for key Islamabad stop.,,,
new city phase 01,New City Phase 01,FR-12,1,7,33.7485,72.7635,verified,Seed coordinate for key Islamabad stop.,,,
new city phase 02,New City Phase 02,FR-12,1,9,33.738,72.7485,verified,Seed coordinate for key Islamabad stop.,,,
ogti stop,OGTI Stop,FR-01,1,15,33.6455,73.0285,verified,Seed coordinate for key Islamabad stop.,,,
opf girls college,OPF Girls College,"FR-06, FR-10",2,9,33.716,73.0325,verified,Seed coordinate for key Islamabad stop.,,,
paec general hospital,PAEC General Hospital,FR-01,1,6,33.6305,73.0633,verified,Seed coordinate for key Islamabad stop.,,,
paf hospital,PAF Hospital,FR-06,1,14,33.7125,73.0145,verified,Seed coordinate for key Islamabad stop.,,,
pechs,PECHS,FR-13,1,12,33.6065,72.8435,verified,Seed coordinate for key Islamabad stop.,,,
pha flats,PHA Flats,FR-07,1,14,33.6612,72.9912,verified,Seed coordinate for key Islamabad stop.,,,
pims,PIMS,"FRB-01, FRG-1, ST-02",3,1,33.705,73.048,verified,Seed coordinate for key Islamabad stop.,,,
pims hospital,PIMS Hospital,"FR-03A, FR-04, FR-07, FR-08A, FR-08C, ST-01",6,1,33.705,73.048,verified,Seed coordinate for key Islamabad stop.,,,
pims metro station,PIMS Metro Station,FR-03A,1,2,33.705,73.048,verified,Seed coordinate for key Islamabad stop.,,,
ptcl f 11,PTCL F-11,FR-06,1,22,33.684,72.9825,verified,Seed coordinate for key Islamabad stop.,,,
ptcl i 10,PTCL I-10,FR-01,1,13,33.6445,73.0415,verified,Seed coordinate for key Islamabad stop.,,,
pwd housing society,PWD Housing Society,FR-15,1,7,33.5786,73.1361,verified,Seed coordinate for key Islamabad stop.,,,
pagh chowk,Pagh Chowk,FR-15,1,6,33.5855,73.142,verified,Seed coordinate for key Islamabad stop.,,,
pakistan gate,Pakistan gate,FR-06,1,15,33.4995,73.2435,verified,Seed coordinate for key Islamabad stop.,,,
park view city,Park View City,"FR-08A, FR-08C, ST-02",3,13,33.702,73.1915,verified,Seed coordinate for key Islamabad stop.,,,
parveen shakir road,Parveen Shakir Road,"FR-03A, ST-01",2,10,33.6845,73.0385,verified,Seed coordinate for key Islamabad stop.,,,
phulgran,Phulgran,FR-14A,1,10,33.7545,73.2285,verified,Seed coordinate for key Islamabad stop.,,,
pims metro station,Pims Metro Station,FR-06,1,1,33.705,73.048,verified,Seed coordinate for key Islamabad stop.,,,
pindora chungi,Pindora Chungi,"FR-09, FR-14",2,9,33.6465,73.0594,verified,Seed coordinate for key Islamabad stop.,,,
pir wadhai morh,Pir Wadhai Morh,FR-09,1,21,33.645,73.0255,verified,Seed coordinate for key Islamabad stop.,,,
police flats,Police Flats,FR-07,1,11,33.6811,73.0244,verified,Seed coordinate for key Islamabad stop.,,,
police foundation,Police Foundation,FR-05,1,2,33.5835,73.1445,verified,Seed coordinate for key Islamabad stop.,,,
police foundation metro station,Police Foundation Metro Station,"FR-01, FR-07",2,2,33.6457,72.9662,verified,Seed coordinate for key Islamabad stop.,,,
prem nagar faqeeran,Prem Nagar Faqeeran,FR-13,1,24,33.6495,73.0785,verified,Seed coordinate for key Islamabad stop.,,,
pully stop,Pully Stop,"FR-04, FR-09, FR-14",3,7,33.6418,73.0375,verified,Seed coordinate for key Islamabad stop.,,,
punjab college,Punjab College,FR-14A,1,12,33.6545,73.1365,verified,Seed coordinate for key Islamabad stop.,,,
quaid azam university,Quaid Azam University,FR-04A,1,7,33.7485,73.139,verified,Seed coordinate for key Islamabad stop.,,,
qutbal,Qutbal,FR-13,1,20,33.5855,72.6935,verified,Seed coordinate for key Islamabad stop.,,,
riphah international university,RIPHAH International University,FR-11,1,7,33.6505,73.1255,verified,Seed coordinate for key Islamabad stop.,,,
